@relation InstanceResultListener

@attribute Key_Dataset {boilerplate,boilerplate.en,boilerplate.fr,boilerplate.sv}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.functions.Logistic,weka.classifiers.lazy.IBk,weka.classifiers.trees.J48,weka.classifiers.trees.RandomForest,weka.classifiers.bayes.NaiveBayes,weka.classifiers.functions.SMO,weka.classifiers.functions.MultilayerPerceptron}
@attribute Key_Scheme_options {'-R 1.0E-8 -M -1','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-C 0.25 -M 2','-I 100 -K 0 -S 1 -num-slots 1','','-C 1.0 -L 0.0010 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.NormalizedPolyKernel -E 2.0 -C 250007\"','-C 1.0 -L 0.0010 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\"','-C 1.0 -L 0.0010 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.Puk -O 1.0 -S 1.0 -C 250007\"','-C 1.0 -L 0.0010 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -G 0.01 -C 250007\"','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a'}
@attribute Key_Scheme_version_ID {3932117032546553727,-3080186098777067172,-217733168393644444,1116839470751428698,5995231201785697655,-6585883636378691736,-5990607817048210779}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 182\nSize of the tree: 363\n','Number of leaves: 228\nSize of the tree: 455\n','Number of leaves: 211\nSize of the tree: 421\n','Number of leaves: 215\nSize of the tree: 429\n','Number of leaves: 225\nSize of the tree: 449\n','Number of leaves: 191\nSize of the tree: 381\n','Number of leaves: 208\nSize of the tree: 415\n','Number of leaves: 199\nSize of the tree: 397\n','Number of leaves: 196\nSize of the tree: 391\n','Number of leaves: 204\nSize of the tree: 407\n','Number of leaves: 150\nSize of the tree: 299\n','Number of leaves: 145\nSize of the tree: 289\n','Number of leaves: 164\nSize of the tree: 327\n','Number of leaves: 147\nSize of the tree: 293\n','Number of leaves: 151\nSize of the tree: 301\n','Number of leaves: 134\nSize of the tree: 267\n','Number of leaves: 136\nSize of the tree: 271\n','Number of leaves: 149\nSize of the tree: 297\n','Number of leaves: 175\nSize of the tree: 349\n','Number of leaves: 167\nSize of the tree: 333\n','Number of leaves: 180\nSize of the tree: 359\n','Number of leaves: 171\nSize of the tree: 341\n','Number of leaves: 185\nSize of the tree: 369\n','Number of leaves: 172\nSize of the tree: 343\n','Number of leaves: 194\nSize of the tree: 387\n','Number of leaves: 177\nSize of the tree: 353\n','Number of leaves: 166\nSize of the tree: 331\n','Number of leaves: 152\nSize of the tree: 303\n','Number of leaves: 142\nSize of the tree: 283\n','Number of leaves: 157\nSize of the tree: 313\n','Number of leaves: 163\nSize of the tree: 325\n','Number of leaves: 158\nSize of the tree: 315\n','Number of leaves: 154\nSize of the tree: 307\n','Number of leaves: 168\nSize of the tree: 335\n','Number of leaves: 156\nSize of the tree: 311\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric

@data

boilerplate,1,1,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1',3932117032546553727,20151112.1135,8925,992,897,95,0,90.423387,9.576613,0,0.698598,0.139842,0.265842,43.311043,66.137707,721.32285,342.887037,378.435813,0.72714,0.345652,0.381488,390.707105,0.393858,53794.35491,0.945638,748,0.258706,52,0.741294,149,0.054362,43,0.935,0.945638,0.940289,0.698883,0.93899,0.981188,0.904234,0.217302,0.782698,0.095766,0.902792,0.904234,0.903408,0.698883,0.93899,0.950592,0.849279,0.904234,0.342,0.001,0.327901,0.001056,327.901,1.056,13566,2974942,333253,98.991935,71.169355,?,?,?,?,?
boilerplate,1,2,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1',3932117032546553727,20151112.1135,8925,992,903,89,0,91.028226,8.971774,0,0.716564,0.136265,0.258337,42.203329,64.270415,721.32285,321.720344,399.602506,0.72714,0.324315,0.402825,397.921484,0.401131,54787.663853,0.950695,752,0.248756,50,0.751244,151,0.049305,39,0.937656,0.950695,0.944131,0.717004,0.9465,0.984688,0.910282,0.208343,0.791657,0.089718,0.908697,0.910282,0.90933,0.717004,0.9465,0.958152,0.858255,0.910282,0.397,0.001,0.386296,0.0011,386.296,1.1,13566,2974942,333253,99.092742,71.471774,?,?,?,?,?
boilerplate,1,3,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1',3932117032546553727,20151112.1135,8925,992,902,90,0,90.927419,9.072581,0,0.712836,0.142146,0.266268,44.024546,66.243632,721.32285,737.104557,-15.781707,0.72714,0.743049,-0.015909,385.59891,0.388709,53091.034974,0.950695,752,0.253731,51,0.746269,150,0.049305,39,0.936488,0.950695,0.943538,0.713359,0.942003,0.984189,0.909274,0.21231,0.78769,0.090726,0.907546,0.909274,0.90822,0.713359,0.942004,0.947734,0.856385,0.909274,0.35,0.001,0.339534,0.001032,339.534,1.032,13566,2974942,333253,98.991935,71.522177,?,?,?,?,?
boilerplate,1,4,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1',3932117032546553727,20151112.1135,8925,992,892,100,0,89.919355,10.080645,0,0.677254,0.138973,0.268902,43.041838,66.898976,721.32285,344.617402,376.705447,0.72714,0.347397,0.379743,386.633707,0.389752,53233.510651,0.948167,750,0.293532,59,0.706468,142,0.051833,41,0.92707,0.948167,0.9375,0.678399,0.939028,0.981317,0.899194,0.244559,0.755441,0.100806,0.896452,0.899194,0.897398,0.678399,0.939028,0.950694,0.838542,0.899194,0.404,0.001,0.395595,0.00103,395.595,1.03,13566,2974942,333253,99.092742,69.556452,?,?,?,?,?
boilerplate,1,5,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1',3932117032546553727,20151112.1135,8925,992,904,88,0,91.129032,8.870968,0,0.701064,0.135041,0.25998,41.824255,64.679252,721.32285,364.089381,357.233468,0.72714,0.367026,0.360114,405.952912,0.409227,55893.467799,0.972187,769,0.328358,66,0.671642,135,0.027813,22,0.920958,0.972187,0.945879,0.709028,0.942217,0.978398,0.91129,0.267461,0.732539,0.08871,0.908581,0.91129,0.907039,0.709028,0.942217,0.949115,0.850035,0.91129,0.33,0.001,0.319453,0.001034,319.453,1.034,13566,2974942,333253,98.991935,70.715726,?,?,?,?,?
boilerplate,1,6,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1',3932117032546553727,20151112.1135,8925,992,902,90,0,90.927419,9.072581,0,0.70379,0.132685,0.256766,41.162434,63.998567,719.343201,322.391657,396.951544,0.725144,0.324992,0.400153,409.739152,0.413044,56397.55386,0.959596,760,0.29,58,0.71,142,0.040404,32,0.929095,0.959596,0.944099,0.706381,0.948403,0.985085,0.909274,0.239678,0.760322,0.090726,0.906312,0.909274,0.906853,0.706381,0.948403,0.955674,0.851729,0.909274,0.348,0.001,0.336772,0.001016,336.772,1.016,13566,2974942,333253,98.891129,70.060484,?,?,?,?,?
boilerplate,1,7,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1',3932117032546553727,20151112.1135,8925,992,895,97,0,90.221774,9.778226,0,0.682622,0.147931,0.271825,45.892198,67.75222,719.343201,361.257336,358.085865,0.725144,0.364171,0.360974,370.747232,0.373737,51030.605368,0.953283,755,0.3,60,0.7,140,0.046717,37,0.92638,0.953283,0.939639,0.684563,0.93279,0.978412,0.902218,0.248935,0.751065,0.097782,0.899078,0.902218,0.899935,0.684563,0.93279,0.944405,0.841172,0.902218,0.398,0.001,0.387462,0.001036,387.462,1.036,13566,2974942,333253,99.092742,72.278226,?,?,?,?,?
boilerplate,1,8,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1',3932117032546553727,20151112.1135,8926,991,893,98,0,90.110999,9.889001,0,0.670925,0.13488,0.260956,41.82935,65.01867,719.017009,317.295807,401.721202,0.725547,0.320177,0.40537,401.637171,0.405285,55285.789457,0.960809,760,0.335,67,0.665,133,0.039191,31,0.918984,0.960809,0.939431,0.675881,0.948331,0.986058,0.90111,0.275301,0.724699,0.09889,0.897186,0.90111,0.89732,0.675881,0.948331,0.959836,0.8351,0.90111,0.403,0.001,0.389362,0.001093,389.362,1.093,13566,2975275,332920,99.495459,70.232089,?,?,?,?,?
boilerplate,1,9,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1',3932117032546553727,20151112.1135,8926,991,900,91,0,90.817356,9.182644,0,0.693817,0.138343,0.258842,42.903479,64.491907,719.017009,316.512873,402.504136,0.725547,0.319387,0.40616,395.153969,0.398743,54393.369712,0.965866,764,0.32,64,0.68,136,0.034134,27,0.922705,0.965866,0.943792,0.699257,0.949077,0.98554,0.908174,0.262308,0.737692,0.091826,0.904875,0.908174,0.904543,0.699257,0.949077,0.959628,0.846552,0.908174,0.35,0.001,0.336824,0.001204,336.824,1.204,13462,2975275,332920,99.596367,70.837538,?,?,?,?,?
