@relation boilerplate

@attribute Length numeric
@attribute PageProp numeric
@attribute PercText numeric
@attribute PercDiv numeric
@attribute DocMarkupProp numeric
@attribute MarkupProp numeric
@attribute PunctProp numeric
@attribute LetterProp numeric
@attribute NumberProp numeric
@attribute TagProp numeric
@attribute EmailProp numeric
@attribute UriProp numeric
@attribute HashProp numeric
@attribute YearProp numeric
@attribute AnchorProp numeric
@attribute UpperProp numeric
@attribute SentBogus numeric
@attribute SentLength numeric
@attribute SentCount numeric
@attribute Copy numeric
@attribute EndsPunct numeric
@attribute DtXhtml numeric
@attribute DtHtml4 numeric
@attribute DtHtml5 numeric
@attribute ContArticle numeric
@attribute ContSection numeric
@attribute ContDiv numeric
@attribute ContP numeric
@attribute ContH numeric
@attribute ContBlock numeric
@attribute ContTd numeric
@attribute ContLi numeric
@attribute ContClose numeric
@attribute OpenProp numeric
@attribute SkippedDivs numeric
@attribute Window1 numeric
@attribute Window2 numeric
@attribute Boiler {B,T}

@data
0.011,0.001457,0.497351,0.672515,0.143307,0.894231,0,1.1,0,0,0,0,0,0,0.1,0,1,0.11,0.1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.6,0,0.608024,0.637858,B
0.001,0.000649,0.718831,0.655172,0.168324,0.8,0,1,0,0,0,0,0,0,1,1,1,0.01,0.1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.5,0.05,0.8,0.8,B
0.017,0.006476,0.342095,0.514286,0.04097,0.920561,0,0.714286,0.357143,0,0,0,0,0.071429,0.071429,0.2,1,0.17,0.1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5,0.05,0.912258,0.916462,B
0.059,0.011379,0.24378,0.111111,0.4966,0.106061,0.033898,0.962264,0.018868,0,0,0,0,0,0,0.078431,1,0.59,0.1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.25,0.15,0.04595,0.078521,T
0.008,0.000743,0.926779,0.712418,0.07994,0.619048,0,0.333333,0.5,0,0,0,0,0,0,0,1,0.08,0.1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.75,0.1,0.562776,0.703367,B
0.026,0.002958,0.48652,0.461988,0.061058,0.918495,0,1.041667,0,0,0,0,0,0,0.041667,0.08,1,0.26,0.1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5,0.05,0.914679,0.932562,B
0.01,0.001742,0.291064,0.477387,0.12121,0.918033,0,1.111111,0,0,0,0,0,0,0.111111,0.2,1,0.1,0.1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.5,0.05,0.90721,0.912933,B
0.001,0.000178,0.092185,0.345238,0.110967,0.833333,0,0,2,0,0,0,0,0,0,0,1,0.01,0.1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.5,0.05,0.885802,0.864815,B
0.198,0.060329,0.669104,0.811966,0.073967,0.485714,0.035354,0.9375,0.017045,0,0,0,0,0,0.005682,0.078788,0,1,0.1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.666667,0,0.641543,0.654994,T
0.075,0.009257,0.846334,0.631579,0.558797,0.468085,0.08,0.919355,0,0,0,0.016129,0,0,0,0.070175,0,0.75,0.1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.6,0.1,0.413604,0.388422,T
0.016,0.003363,0.907925,0.285714,0.205353,0.238095,0,1.066667,0,0,0,0,0,0,0,0.125,1,0.16,0.1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.5,0.15,0.647154,0.55993,B
0.013,0.001463,0.607541,0.258427,0.204927,0.793651,0,1.076923,0,0,0,0,0,0,0.076923,0.071429,1,0.13,0.1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5,0.05,0.794651,0.821339,B
0.039,0.027292,0.478656,0.241379,0.106825,0.743421,0.025641,1,0,0,0,0,0,0,0.027778,0.111111,1,0.39,0.1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.571429,0.05,0.783733,0.807035,B
0.103,0.013642,0.569139,0.111111,0.143307,0.155738,0.019417,0.989011,0,0,0,0,0,0,0,0.066667,0,1,0.1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.5,0.05,0.340009,0.5517,T
0.001,0.000116,0.787459,0.813954,0.111294,0.994924,0,0,0,0,0,0,0,0,1,0,1,0.01,0.1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.5,0.05,0.919879,0.921469,B
0.009,0.001253,0.07627,0.213873,0.115091,0.871429,0,1.125,0,0,0,0,0,0,0,0.111111,1,0.09,0.1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.5,0.05,0.645089,0.455885,B
0.018,0.000384,0.424711,0.558282,0.372639,0.944099,0,1,0.0625,0,0,0,0,0,0.0625,0.1875,1,0.18,0.1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.615385,0.3,0.33498,0.584321,T
0.004,0.000131,0.975156,0.879397,0.124909,0.945206,0,1.25,0,0,0,0,0,0,0.25,0.2,1,0.04,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0.05,0.921325,0.926307,B
0.013,0.002309,0.266608,0.083333,0.110967,0.875,0.153846,0.363636,0.545455,0,0,0,0,0.090909,0.090909,0.25,1,0.13,0.1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5,0.05,0.864079,0.866145,B
0.005,0.000164,0.966601,0.844221,0.124909,0.934211,0,1.25,0,0,0,0,0,0,0.25,0.2,1,0.05,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0.05,0.900544,0.908703,B
0.021,0.000448,0.970568,0.783231,0.372639,0.803738,0,1.052632,0,0,0,0,0,0,0.052632,0.2,1,0.21,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.416667,0.2,0.797645,0.815152,B
0.539,0.011504,0.128402,0.415133,0.372639,0.035778,0.014842,0.984946,0,0,0,0,0,0,0,0.078603,0,1,0.3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.645776,0.399881,T
0.022,0.008976,0.176663,0.342466,0.075179,0.185185,0,1.047619,0,0,0,0,0,0,0.095238,0.090909,1,0.22,0.1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.55,0.45,0.222759,0.246383,B
0.043,0.007521,0.624803,0.371429,0.126125,0.820084,0,1.025641,0,0,0,0,0,0,0.051282,0.075,1,0.43,0.1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.583333,0.55,0.820002,0.677359,B
0.011,0.003587,0.398435,0.591398,0.05453,0.830769,0,1.1,0,0,0,0,0,0,0.1,0.090909,1,0.11,0.1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5,0.05,0.766606,0.768225,B
0.017,0.001077,0.560575,0.25,0.142219,0.933071,0.235294,0,0.8,0,0,0,0,0.066667,0.133333,0,1,0.17,0.1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.72,0.25,0.702615,0.648073,B
0.008,0.000804,0.138981,0.057057,0.068524,0.952096,0,1.125,0,0,0,0,0,0,0,0.111111,1,0.08,0.1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.666667,0.05,0.931932,0.908885,B
0.015,0.001992,0.596787,0.464684,0.057014,0.896552,0.066667,1,0,0,0,0,0,0,0.076923,0.153846,1,0.15,0.1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.545455,0.15,0.908727,0.903516,B
0.007,0.000974,0.357968,0.213873,0.115091,0.958084,0,1.166667,0,0,0,0,0,0,0,0.142857,1,0.07,0.1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0.521739,0.2,0.91562,0.902836,B
0.007,0.002108,0.979825,0.809524,0.229351,0.862745,0,1.142857,0,0,0,0,0,0,0.142857,0.125,1,0.07,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0.05,0.835834,0.721455,B
0.047,0.008956,0.991044,1,0.078518,0.901053,0.042553,0.978261,0,0,0,0,0,0,0.173913,0.288889,1,0.47,0.1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.629032,0.95,0.879772,0.863297,B
0.054,0.01029,0.129573,0.167883,0.078518,0.1,0.018519,1,0,0,0,0,0,0,0,0.040816,1,0.54,0.1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5,0.05,0.113492,0.11834,T
0.011,0.00419,0.86781,0.685714,0.04097,0.898148,0,1.090909,0,0,0,0,0,0,0.090909,0.083333,1,0.11,0.1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5,0.05,0.933236,0.931313,B
0.018,0.003135,0.443651,0.105528,0.12121,0.886076,0,1.058824,0,0,0,0,0,0,0.058824,0.111111,1,0.18,0.1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.6,0,0.894759,0.898322,B
0.213,0.004546,0.939662,0.758691,0.372639,0.036199,0.023474,0.978022,0,0,0,0,0,0,0,0.089888,0,0.71,0.3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.396599,0.480528,T
